Date,Event,Category,Details
3/18/26,Combined: Teachers,combined,Combined activity led by the Teachers.
4/15/26,Combined: Deacons,combined,Combined activity led by the Deacons.
5/20/26,Combined: YW,combined,Combined activity led by the YW.
6/17/26,Combined: Priests,combined,Combined activity led by the Priests.
7/15/26,Combined: Teachers,combined,Combined activity led by the Teachers.
8/19/26,Combined: Deacons,combined,Combined activity led by the Deacons.
9/16/26,Combined: YW,combined,Combined activity led by the YW.
10/21/26,Combined: Priests,combined,Combined activity led by the Priests.
11/18/26,Combined: Teachers,combined,Combined activity led by the Teachers.
12/16/26,Combined: Deacons,combined,Combined activity led by the Deacons.